TITLE, COMPANY, LOCATION, DESCRIPTION, URL
Software Engineer - Python - Ubuntu Pro client - graduate level,Canonical,"Remote in Toronto, ON","You will also be a voice in communication with our users, ensuring their needs are met.",https://ca.indeed.com/rc/clk?jk=186638658025ca44&bb=rl3F7YHrnn1qq4dxJjGplo_QKTQrvHlEepT0YHD9x_UTAgWsADhEZq6Ry3pDc2Yt&xkcb=SoAk67M3GKs6hHw8Mp0KbzkdCdPP&fccid=3911cf63fc0692f4&vjs=3
Software Developer Co-op (Summer 2024),Intuit,"Toronto, ON",Together we'll create innovative solutions that delight our customers while solving their biggest problems.,https://ca.indeed.com/rc/clk?jk=f0369bd20f9ad385&bb=rl3F7YHrnn3SPBOghxwcFz0sAtelZw1k8h07MZNhmQofc0hX73ZSvG5iwy6q0Lu0&xkcb=SoAN67M3GKs6hHw8Mp0IbzkdCdPP&fccid=9784ae78e9834539&vjs=3
Software Engineer/Developer (Java/Python),BlueRock TMS Canada,"Hybrid remote in Toronto, ON",The position of Software Developer relates to the international roll-out of our operative and analytical software platform.,https://ca.indeed.com/rc/clk?jk=30661483d50ff237&bb=rl3F7YHrnn0ipiqKpBKUyUXOdsoMVXQ1dvEQl4u7wCjWsEblecdPo8sa2agK_LWR&xkcb=SoA367M3GKs6hHw8Mp0ObzkdCdPP&fccid=72b7ac107c93b57c&cmp=BlueRock-Canada&ti=Software+Engineer&vjs=3
"Associate Director, Model Development (12-Months Contract)",EQ Bank | Equitable Bank,"Hybrid remote in Toronto, ON","The Associate Director, Model Development (“ADMD”) reports to the Director, Model Development (“DMD”) and supports the DMD and other Senior Management with…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DsWNDHdfgUBHrniPbub0UJ5BYp1LbrhbN4BYd3kTOnc-gNdpkTvFBgC89eQMOSaERI-0oIrld0FHtNK64EorEnNJo0NVWzsTW-RBGErWNTgVEFR33m4o1gLc2OpQAy1FlM6PFg3Xo8RMGpBtc8JAiB7xGbTF4AdHSPloIsgFHlbXnptySuYdwc0fwRsxPs48DQW2ut8ipZ7SnDk4oXqj5NmEKW5UUV3c28LYOJPCA3H-6ru_hRe2R1ADgUzB-qBOsZdWHDMrjZxMnU5D3AbX2cgomOpybA_cfSDJjfBtJd6s8t6xLsLV0SwKGSi88z-nO-MWQdqS9MGGclsnzvFeWDdobUQog1XxthPyByEETjutaXdWnBCgTeMBijVrQQfEQLbQKeQrpZoxCAmUOUvRRp85Q62U0Bwlguq3rC5txVXezvoEi48eRSimyWfTjJw_n3EGuVs8RpZLBq4FE_NIt0CPnAiJOmwxcOnZ2YBz2IlxCnPZgq6QzZVArDP4cr8z607RJl_JsJBRPviIJLDMbSny9dt4xd_KnwMhqZNCwnsXPkK8TZwDVqhXSsf7RLGDTqRBT30HR2-KgbMfIKov-FDWTQoeNX2cUqV4HgjpKBgqJeL-8L3ZpywkvMTHJvY5-19p09MBB4mtRmbZLZEYOMoZUWyupTAEKD9l9xklz-E0bIvY5GvIma6zGEky4y2WE=&xkcb=SoA36_M3GKs6gCQY2h0bbzkdCdPP&p=13&fvj=0&vjs=3
IT Compliance Analyst,Demand For HR,"Hybrid remote in Markham, ON",Our Client is seeking a resourceful and forward-thinking IT Compliance Analyst who will perform testing of defined security and IT general computing controls…,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AYPD3BHREr9MDv1ExUNvwncv0ZSVnWuId8qo0O5AQ50FqUEBByCnE_0OPP_XE4xtikC4LsTpW0sPOASEU4xN0-_OXfpY7qS7j7Yi7wGAMdbM4EPuWOBiqpwlruDDPm0fZq9A5vITBOJKC8Yxkn1SCOjIW6QRaa5cq5tABZ1HlTrkcfUSYjFHB9G0Z7N6ke2WqCn4DPoLQLXkpmAEhI5VvWrHBQIigD4g-ioTCsyf6hg2PFD342Qcthw7sHOpTfmGhtzNtRNir5L7WRkRT6wVWrQx8fGx7D2Q-sXpEa2NrrEUljlEuvQ0wtPxovsTqIT3d6Wcr1RggqyiF5_Sodc3XkPRDg6On24_NjsZMMDvdxvSfTGfEDVlXswHgW1YGcFqv-YQIU9EgUVJpiM7Xis-13GQsVV-fA3ZJRqwRcUeo8umQzKDd0bZ7KymPU62FG0_McTyduhPC4Rr2UQSe4RhKPtF5xbNEMKFba8lgNSlOq7jZtBKUdKLm1iIfgHro7dIjMsS5at8H1rQGci-OGlJZQW1AYPTAU1HAD6No89F6zhRmHHfnClF3HEwWcXnmQpFCY4-ZVh8zJz76iw1ZKmZy1jTN8SKXpbF-X8i9FDkMp2I6duSd_KjaQ2HDMQEW5qF3t7lpRpiVKxehECZ3lfmAqXXLxOTbu42YnhuaP22Krmw==&xkcb=SoCD6_M3GKs6gCQY2h0abzkdCdPP&p=14&fvj=0&vjs=3
"Full Stack Software Engineer, Chatbot",Jerry,"Toronto, ON",Working on products that have traction (40X revenue growth in 4 years | #1 rated app in the insurance comparison category).,https://ca.indeed.com/rc/clk?jk=c81709dd8c1bd825&bb=Ixqq8pHxPGXVjVER1fk6XiA3nxJlKOJgWi3R8Yzrjyfr6suF58c8K9s0QzFBBv7t&xkcb=SoAx67M3GKs6X42Q250LbzkdCdPP&fccid=204c8e2f615ab5bb&vjs=3
"Senior Manager, Risk Data Management",EQ Bank | Equitable Bank,"Hybrid remote in Toronto, ON","Reporting to the Senior Director, Risk Data, Enterprise Risk Management, the incumbent will be responsible for overseeing the requirements, documentation, and…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DsWNDHdfgUBHrniPbub0UJ5BYp1LbrhbN4BYd3kTOnc-gNdpkTvFBgC89eQMOSaETEJIa8w1me4nG3meLlJ1KrNhUHkj-jlyU_uA9zAqdvdBpQmm_DU2iAs2vh4CxTkGuF680NyXEOy7OJihRHNEY5uwsa0S_D6kQN1tSXpDJHl3eDzvFNC9cwEZMYXz72U69sc13fspuoUEX-obGcVr0ppddIkXShykkN5xM_R40fb9OYbsqnD5_JNLcYfDXGbWUB4GgxZ6r1zl9LX6IBEotMMul_HapsyjXc1cUTmaUxG46uXEyJzLGVPpcNHARV5t7zwT-26Mjn2OwJKm8bPPbqdJRH_cOlhdZq5w32xznYEraxLhf_NQ0LyGDzkm3CM3eAsM3hMNjZeFXQtt8KgPUQ7qSzwrPaNyvmL4Ce3ImdlzQGtRvczuIwI0SpnjteyayRiAVos0KijT-J9pugwfRVNBM7ou715u22O6T8w5T8nU7ECWHKidW59hgINWb-kqonD5mD79KccHOiR88RqLqpV9QCB2EAYIJION8pUBBL2n5I9hYSMCAy1yDTs--ZjiHOaQvQnldeCjXiiwOJ2RD3ZGlxqkSo1RD3PGET1PsAzAwpWnnO7DkOkMUo11oUhQG4J1VyaGVd8Qv9SyWvBONYd1OO5u4cLd3emaO_Zjcbtmn1XUb7fiaeL5-l6gJuZrY=&xkcb=SoDg6_M3GKs6WTQY7R0KbzkdCdPP&p=1&fvj=0&vjs=3
Software Engineer - Python - Ubuntu Pro client - graduate level,Canonical,"Remote in Toronto, ON","You will also be a voice in communication with our users, ensuring their needs are met.",https://ca.indeed.com/rc/clk?jk=186638658025ca44&bb=BRmDCH-cXf2doF_Qit3pJj5hkIQM8s5VKXBeqW9Jqvk8pjLiYc99lMJ27CvGcY-C&xkcb=SoBo67M3GKs6X7WQ250LbzkdCdPP&fccid=3911cf63fc0692f4&vjs=3
Software Engineer/Developer (Java/Python),BlueRock TMS Canada,"Hybrid remote in Toronto, ON",The position of Software Developer relates to the international roll-out of our operative and analytical software platform.,https://ca.indeed.com/rc/clk?jk=30661483d50ff237&bb=RDB_QWHbk5eU-sNTxSXCPaknrSMwKsLybkLa5wtLCEMV0bMDOitIn4MgyDvTRKuE&xkcb=SoAt67M3GKs6X72Q250LbzkdCdPP&fccid=72b7ac107c93b57c&cmp=BlueRock-Canada&ti=Software+Engineer&vjs=3
Software Developer in Test,Scotiabank,"Hybrid remote in Toronto, ON","Contributes to the overall success of Commerce Engineering in Canada ensuring specific individual goals, plans, initiatives are executed / delivered in support…",https://ca.indeed.com/rc/clk?jk=a2e8e402c02cf562&bb=RDB_QWHbk5f9ncxP5HmkoOtc3IIE79rJz7MP2EPxseIpUaUs56QTWxzM9hkIZBvf&xkcb=SoAE67M3GKs6X72Q250JbzkdCdPP&fccid=3002307a9e5b4706&vjs=3
Technical Support Technician,University Health Network,"Toronto, ON",Hours: 37.5 hours per week.,https://ca.indeed.com/rc/clk?jk=3f3d79a025d1dac4&bb=t0E2gBPMOity7SHWDAWArLCBv_jwk-ptM3xBid1ywR6Uvs5SrP-ScN9Ba3dxAgba&xkcb=SoAX67M3GKs6X6WQ250KbzkdCdPP&fccid=2bef55e014d470c4&vjs=3
Senior Python Developer,Dawn InfoTek Inc.,"Hybrid remote in Scarborough, ON",Knowledge of AI and Machine Learning:Especially have knowledge to develop and deploy ML project with python .,https://ca.indeed.com/rc/clk?jk=21f5500b9d86c782&bb=t0E2gBPMOit4qZaFCKCJVtWTTgh4NIfFNPq4-pVo4_myKl_YKcD9mV-ZtybXW-En&xkcb=SoA-67M3GKs6X6WQ250IbzkdCdPP&fccid=b92bdfc2ac8613c3&cmp=www.dawninfotek.com&ti=Python+Developer&vjs=3
Python Developer with AWS,Arthur Grand Technologies Inc,"Hybrid remote in Toronto, ON","Development of python procedures for automated conversion of legacy SAS code to the Viya formats, comprehensive testing and troubleshooting of conversion issues…",https://ca.indeed.com/rc/clk?jk=be28a97da0737f9e&bb=YLRWDar_TKJ4T4R9JYa56hgqBZKuvtvHdDsKAYbaVwnC9PM0pz7QGwgEiAK-1WbW&xkcb=SoB767M3GKs6X62Q250IbzkdCdPP&fccid=115c0c3ffa0241fa&cmp=Arthur-Grand-Technologies-Inc&ti=Python+Developer&vjs=3
Software Tester,CEO FOUNDRY,"Toronto, ON","Strong bash or other scripting skills such as shell, python, and ruby.",https://ca.indeed.com/rc/clk?jk=2cf72428a7727f86&bb=YLRWDar_TKIC8X9ZhgpKHlAAP9vNNLCl64S5pbUjmNipTcKzDZbM9aXTQhNec3dy&xkcb=SoDc67M3GKs6X62Q250NbzkdCdPP&fccid=8d4ca5b2542d3817&cmp=CEO-Foundry&ti=Software+Test+Engineer&vjs=3
Software Developer Co-op (Summer 2024),Intuit,"Toronto, ON",Together we'll create innovative solutions that delight our customers while solving their biggest problems.,https://ca.indeed.com/rc/clk?jk=f0369bd20f9ad385&bb=G3rsiw5MIQ2C2i9k3AFBIIukx37miMu2B7iM1kv3IPbSncHGuyymgKeb0xyljWIp&xkcb=SoAU67M3GKs6XlWQ250KbzkdCdPP&fccid=9784ae78e9834539&vjs=3
Software Developer – JavaScript & Python,Messagepoint,"Toronto, ON","As a key member of the team, you will be responsible for creating innovative solutions and working with data at scale.",https://ca.indeed.com/rc/clk?jk=e927da62eed90138&bb=G3rsiw5MIQ29vkZp9OlJE03LEb5wYwMUWsFtqheaOqf62aFOht_45DwRR5esgDOP&xkcb=SoCz67M3GKs6XlWQ250PbzkdCdPP&fccid=1cf4c2cb921bf34b&vjs=3
Canadian Banking - Technology & Analytics Internship/Co-op - Summer 2024,Scotiabank,"Toronto, ON",Proactively identify data needs and manage data collection.,https://ca.indeed.com/rc/clk?jk=aa4ee1778c2617f9&bb=G3rsiw5MIQ3orUzOp_dL3zjaMFyqCWemJguHHlwRIxI_gbTvPWAdbh9akcS8Gxfj&xkcb=SoCa67M3GKs6XlWQ250NbzkdCdPP&fccid=3002307a9e5b4706&vjs=3
Python Developer with AWS,Luxoft,"Toronto, ON","The company invests in all major asset classes, including public equity, private equity, real estate, infrastructure and fixed-income instruments.",https://ca.indeed.com/rc/clk?jk=cabaa65911485e71&bb=NKVR0XOEj5Ke4rLe5SRFevjTOLZnyOFX-eaZLs009IcZBvks1W8rcV1CI7KOu6Vj&xkcb=SoBR67M3GKs6Xl2Q250KbzkdCdPP&fccid=4b841d912d46e4fd&vjs=3
Apigee Infrastructure Engineer,iVedha Inc.,Ontario,Core Engineering of the Enterprise API Infrastructure.,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9wbaU56get2cajr6JAXuY3dw3OqVEJKT6K7onw8TXyqls5956JOUlnd0wnmTc_ejrE-XMUfnH9uPjCICW5JO4PAFlhjf_a3sYIWXRU1ulQZTCHBXKqWWKdVOCsoaD2r4DAtmw0rw_2YUYCgKNmHtIDMwByl3Wlq1piNn7ta08AhhS4ShwzBha_uLwVrECQi8Z0COxj--5rflXZbJHKyJHzrvOti--qYUfbmeRAhk6hGOWRqN_qLl-oIqY2KyDn7AfGA3ZwbzeSn_XgB8p7lRQ1Ph2POeOysZ6O-vzdH11qwOcXk3XI0J93ig3VAYXfXX5GhMsr-mPtKD7AlPOBLtKmBf6-CrVq-VJqhan-fdX1hBTHIy0BHyc_2U9CdzTowObwYbArdhtqfE4VM4cOceItKn-UlFp9ZBAkK0SYGnkA573iG1vvnYfgigXEXnUUTV3HW732tzFJbEH09R6MTKUAQUyt2iSxINrDgUIw-w5kmaXlJsgSMCrW8dv0AV58x97DZmr9NOFF9wl3ihz-ejGaaUSX9Rqes_7DZc108GhApVt0xYsYiB7YyvCAJzphZh171M0P5AAZzsVjb_Uaf9_tiVnTFMyi5rDvSjsVdLzFdpbiKVZRO5z&xkcb=SoCU6_M3GKs6WTQY7R0GbzkdCdPP&p=13&fvj=1&vjs=3
Software Developer ETL& Python,Arthur Grand Technologies Inc,"Hybrid remote in Toronto, ON",Hybrid - 3 days on site and 2 days remote.,https://ca.indeed.com/rc/clk?jk=8878f8089ac1a415&bb=lDYyl1-kjZw-QuywCwe3oAgR1GDBXgYv0vaT9A8vfibTHoOXcqsvK-g2fJAYT1iu&xkcb=SoBr67M3GKs6XkWQ250LbzkdCdPP&fccid=115c0c3ffa0241fa&cmp=Arthur-Grand-Technologies-Inc&ti=Software+Engineer&vjs=3
"Manager, Strategic Data and Analytics",Yorkville University,"Toronto, ON","The Manager, Strategic Data and Analytics will be responsible for executing Yorkville’s strategic reporting and analytics strategy, that enables YU to leverage…",https://ca.indeed.com/rc/clk?jk=0f2e8e3a60b1263a&bb=iZ2sPNM-T8lr5WcuYYlyOlP1m7lCwYvvUtdPaDTKt2r_Qv34cxThKkrmyJqSPhiO&xkcb=SoBo67M3GKs6eJRTmJ0LbzkdCdPP&fccid=4661e288d6e8aad7&vjs=3
Data Science Intern,Altair Engineering,"Toronto, ON",Development of analytical solutions to new data analytics and AI software products within Altair.,https://ca.indeed.com/rc/clk?jk=6866cd90bb8e0fd9&bb=iZ2sPNM-T8lfLZUFHk-PLDoNa25KNt4YsDn2c-netFok7pkWK5y_eEt_BXu6pLvr&xkcb=SoD167M3GKs6eJRTmJ0IbzkdCdPP&fccid=3453268f43beb582&vjs=3
Senior Data Software Engineer (Python) - Remote,Software International,"Remote in Toronto, ON",Be able to refactor code in python and have a good grasp on SQL.,https://ca.indeed.com/rc/clk?jk=a296f7ca88689400&bb=VtGTCIY9GqlVBB0RyGSGItizSYixmY6dar4ClD-bd1RKBaOylAEgPARNQHDH9jQJ&xkcb=SoCZ67M3GKs6eJxTmJ0KbzkdCdPP&fccid=991677c8d1dc29b5&vjs=3
Software Developer,QMC Metering Solutions,"Hybrid remote in Toronto, ON","QMC Software Developer – Toronto, ON (Full-time/Hybrid).",https://ca.indeed.com/rc/clk?jk=fbf89b2de9449288&bb=VtGTCIY9Gqke_jECvLbXXQP8HMp1d9cIoY2ss1w3wxZM78JUPySaNcdzcoD_yrTR&xkcb=SoCw67M3GKs6eJxTmJ0IbzkdCdPP&fccid=68548230143dc989&cmp=QMC-Metering-Solutions&ti=Software+Engineer&vjs=3
Front Line Support Analyst 1,Scotiabank,"Toronto, ON",The Front Line Support Analyst is required to provide responsive application level support and development of components and services for critical trading…,https://ca.indeed.com/rc/clk?jk=86a4bc09254d531d&bb=9j_2WNLCfHzH26YnNeGuC9nHz_pgU6wPhus9JcBunnpUyvJiTlnrWvfwz0LyzAMi&xkcb=SoCj67M3GKs6eIRTmJ0LbzkdCdPP&fccid=3002307a9e5b4706&vjs=3
Software Tester,CEO FOUNDRY,"Toronto, ON","Strong bash or other scripting skills such as shell, python, and ruby.",https://ca.indeed.com/rc/clk?jk=2cf72428a7727f86&bb=9j_2WNLCfHx_ghFhc97lpFS9AiNUibEX6qnrMJXhf_h0Sy--o9VfmowZYjWYRwfR&xkcb=SoA-67M3GKs6eIRTmJ0IbzkdCdPP&fccid=8d4ca5b2542d3817&cmp=CEO-Foundry&ti=Software+Test+Engineer&vjs=3
Junior Machine Learning/AI Developer,HouseStack,"Toronto, ON","Collaborate with the technology team to design, implement, and maintain machine learning models and algorithms.",https://ca.indeed.com/rc/clk?jk=b5812550618d1045&bb=GWdExaSvyRBxDChvc9d-n-U5U18NxJi1BOYKj4yorUnszCfYZl0ruv-r4O0ku5A2&xkcb=SoDm67M3GKs6eIxTmJ0LbzkdCdPP&fccid=dfdbbb7a25002308&cmp=HouseStack&ti=Machine+Learning+Engineer&vjs=3
Python Developer (Experienced with Linux/Unix Shell Scripting),Dawn InfoTek Inc.,"Hybrid remote in Toronto, ON","Project aims to modernize the data extraction, transformation and loading function.",https://ca.indeed.com/rc/clk?jk=55c2fb232e1c3936&bb=GWdExaSvyRDYuq-IoWmhq_x9h5wZm5r7rxzFQ40KuuXHzTl80--yuKiJ2DUwWhzI&xkcb=SoDP67M3GKs6eIxTmJ0JbzkdCdPP&fccid=b92bdfc2ac8613c3&cmp=www.dawninfotek.com&ti=Python+Developer&vjs=3
Telecommunications Systems Specialist,SLC Canada Inc,"Remote in Etobicoke, ON","45 (engineers, project managers, administrative staff).",https://ca.indeed.com/rc/clk?jk=108e8c8c3ff0c5ad&bb=GWdExaSvyRAsmV_7cHmYpkjQEnJJzI3fOffTwz9S_Fcycob1iDRQ1X07c9CE5eQM&xkcb=SoD167M3GKs6eIxTmJ0PbzkdCdPP&fccid=dd7b9659364f9e56&cmp=SLC-Canada-Inc&ti=Telecommunications+Specialist&vjs=3
Hiring for .Net - Toronto!!,Kumaran Systems Pvt Ltd,"Hybrid remote in Toronto, ON","Net Consultant"" with one of our Banking Customer - Toronto.",https://ca.indeed.com/rc/clk?jk=d2774d7199f222ad&bb=_yogxaklff8W-1SgVwqN451nFEHwJMR55-DfGaBYk_NIz02XugkddXExEOpCHEvS&xkcb=SoAL67M3GKs6eLRTmJ0KbzkdCdPP&fccid=1cab3323e5568ab2&cmp=KUMARAN-SYSTEMS&ti=Hiring+For+.NET+-+Toronto%21%21&vjs=3
Senior Software Engineer,Scotiabank,"Toronto, ON",The successful candidate will have a strong technical and engineering mindset.,https://ca.indeed.com/rc/clk?jk=b59fe2581fc317f5&bb=_yogxaklff9xXmFgLEWFXDUKj5gyCPn9KQ_6YGzR6BvVTXITyTSvmbIY0Tb2aIo8&xkcb=SoCs67M3GKs6eLRTmJ0PbzkdCdPP&fccid=3002307a9e5b4706&vjs=3
Software Engineer,Scotiabank,"Toronto, ON","Software Engineer role is a key leadership position within Global Equity Derivatives technology, responsible for servicing top revenue generating equity…",https://ca.indeed.com/rc/clk?jk=350f3c94c7abd15d&bb=RCgwh50a4yAyoSlDQDNhv9GF-0ZB6jfpYpYVNXSjw7Q-Q8HcD7_s8bc_wX4kcgDj&xkcb=SoD667M3GKs6eLxTmJ0LbzkdCdPP&fccid=3002307a9e5b4706&vjs=3
Economist,Ministry of Infrastructure,"Toronto, ON","In this role, you will support the larger evidence-based strategic planning of infrastructure and capital projects.",https://ca.indeed.com/rc/clk?jk=d92c4cdfbfde1345&bb=RCgwh50a4yBitKBnkGjsQOlTSbuKTXTP4S8wDkpv4k4oVopExepTdKBcrtjIi3hI&xkcb=SoDT67M3GKs6eLxTmJ0JbzkdCdPP&fccid=d84b317e68ad875e&vjs=3
Python Engineer - Analytics,Ample Insight Inc.,"Remote in Toronto, ON",Critical thinking and problem-solving skills are essential for this role.,https://ca.indeed.com/rc/clk?jk=732728b401f096ad&bb=A-6JT4zx9QaIA6G387DN-i0mw3XRbP9i98NunnSSbPOvgt5drXkP76fFeXxSS-Gu&xkcb=SoB067M3GKs6eKRTmJ0LbzkdCdPP&fccid=e40a09eae1804257&vjs=3
"Big Data Engineer (AWS, Python, Spasrk/Hive)",Software International,"Toronto, ON","Seeking mid-senior level (5+ relevant experience) using AWS cloud, AWS Glue, Python, Big Data (Spark/Hadoop) - Experienced data pipeline builder and data…",https://ca.indeed.com/rc/clk?jk=97b309fc00328227&bb=A-6JT4zx9QZ-GjMHMVxUEOwztvreAeqdnyQlNi0WXB6Rj3wtL0_Iew0082-9tjT7&xkcb=SoBd67M3GKs6eKRTmJ0JbzkdCdPP&fccid=991677c8d1dc29b5&vjs=3
