TITLE, COMPANY, LOCATION, DESCRIPTION, URL
"Intern, Machine Learning & Computational Design",Autodesk,"Toronto, ON","You will explore methods to create, train and evaluate new datasets and models to measure quantitative and qualitative aspects of physical spaces.",https://ca.indeed.com/rc/clk?jk=dd8b5cc0a6ff4a96&bb=NCRLfhw9U8unsP7htkPGvkCgw35yWDv4RgXWF1hmC34WeTtFxazVu8anquVwFv4q&xkcb=SoBM67M3GKqmB6QdzB0BbzkdCdPP&fccid=7136762d065a5ad7&vjs=3
"Intern, Research Engineering",Autodesk,"Hybrid remote in Toronto, ON",We are seeking an enthusiastic and experienced intern to join our team.,https://ca.indeed.com/rc/clk?jk=3bafd5a5c0a953fa&bb=kZWZO1CbeEOMCfQ5PNcOoOecIBp6psPPsiMwkRBuDXfoaGw-bpN3lvmCGsTwlWoWtln1oyQAynPjTfG0juUdrThPWCaSq6INjL-QmMtJ8dE%3D&xkcb=SoCh67M3GKqmLbxJhZ0LbzkdCdPP&fccid=7136762d065a5ad7&vjs=3
Software Developer Intern (May 2024 - 16 months),IBM,"Markham, ON","As the team’s intern developer, they will:",https://ca.indeed.com/rc/clk?jk=15598f32d182e957&bb=kZWZO1CbeEOMCfQ5PNcOoCXZqM1EnPBq_quRqo3vGwCK4hO8UOKczb5ZMhJdC5Pnx4nTN8rXtMQhYomcW7LtDZw7mWdBPEwjvqEzS1iswN0%3D&xkcb=SoAV67M3GKqmLbxJhZ0KbzkdCdPP&fccid=de71a49b535e21cb&vjs=3
"Co-op Student, Information Integration and Intelligence Products/Developer",Canadian Institute for Health Information,"Toronto, ON","City Toronto, Ottawa, Ontario, Canada.",https://ca.indeed.com/rc/clk?jk=b9c08b827743698c&bb=kZWZO1CbeEOMCfQ5PNcOoKyyM0S6jnRFtQzQ5IeSfmSOMmpkU7loo5waND94CFm5UHiY-OSyVsXg3T5uRO9qxh5HCKN-rAENPGh0hn0a1-8%3D&xkcb=SoCI67M3GKqmLbxJhZ0JbzkdCdPP&fccid=b4d2996574efff71&vjs=3
COOP-Summer 2024- Fluid Systems Analyst,Pratt & Whitney,"Mississauga, ON","LOC13055 1801Courtney Park Drive,Mississauga,Ontario,L5T 1J3,Canada.",https://ca.indeed.com/rc/clk?jk=e9fd166c525b2953&bb=kZWZO1CbeEOMCfQ5PNcOoDp-wfWkaB2ds9Qrq8LihC5A5RYbvNfzFlmvW7AJo6deD1RUKwxTgvAB61CaLCMjVY9_U_VlwK-or2QrSQL-ozI%3D&xkcb=SoA867M3GKqmLbxJhZ0IbzkdCdPP&fccid=54fab6b8f8edafb5&vjs=3
"Intern, Software Engineer, HCI & AI",Autodesk,"Hybrid remote in Toronto, ON",Autodesk's HCI & Visualization Research Group is looking for an experienced software engineer intern to help develop intelligent computing interfaces.,https://ca.indeed.com/rc/clk?jk=25344517fb88f1a7&bb=kZWZO1CbeEOMCfQ5PNcOoPTtM4yqYAhaVSaWn4JyNcWBCsxrFvqVAcEHSVo5Ag6zVPdNxxAZvgUgN5_u0I3Lg256fZDD6RTMT7aAC1UXqBg%3D&xkcb=SoCy67M3GKqmLbxJhZ0PbzkdCdPP&fccid=7136762d065a5ad7&vjs=3
"Research Intern, PhD, Summer 2024",Google,"Toronto, ON",Applications will be reviewed on a rolling basis and it’s in the applicant's best interest to apply early.,https://ca.indeed.com/rc/clk?jk=4510c79f16f84b41&bb=kZWZO1CbeEOMCfQ5PNcOoMcvhyvjCHECDBKFUG3Qk1AJiEyhETBGfxkaGbYM30jxrSLE1ljNsrJA9tTsyCo3-e0PpapriZ5dZ8IlSeICUGs%3D&xkcb=SoAG67M3GKqmLbxJhZ0ObzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
"2024 Summer - GRM, Data Analyst Intern (8 Months)",Royal Bank of Canada,"Toronto, ON",Participates in and supports the operational activities of a business unit.,https://ca.indeed.com/rc/clk?jk=1d995482acb822aa&bb=kZWZO1CbeEOMCfQ5PNcOoF6gHoVnB92WYaxPmO8KFnPnjrwbZJ3NbPkHCWLvVGNhV7VrCMX2UB85neq1b8gtuVEG5zbUwx_QZKBHnBXNdyk%3D&xkcb=SoCb67M3GKqmLbxJhZ0NbzkdCdPP&fccid=537b899e30af3338&vjs=3
Data Science Intern- Summer 2024 (Canada),Altair Engineering,"Toronto, ON","As an Altair Data Science intern, you'll become an integral part of our Data Science Consulting team, receiving guidance and tasks from experienced data…",https://ca.indeed.com/rc/clk?jk=4ea7c87c8773b8f8&bb=kZWZO1CbeEOMCfQ5PNcOoNEL7xh6B2oxhDRo-PVSuNOA05u7uSW-kNubXDG3RfzVdv1ipD40zmzTBmzedM8tvs9oFEsG-Cyr9vs-fJq7OgM%3D&xkcb=SoAv67M3GKqmLbxJhZ0MbzkdCdPP&fccid=3453268f43beb582&vjs=3
Velocity - Data Analyst Internship/Co-Op - Summer 2024 (8 months),Scotiabank,"Toronto, ON","Join a purpose driven winning team, committed to results, in an inclusive and high-performing culture.",https://ca.indeed.com/rc/clk?jk=80bf19fe05f195a5&bb=kZWZO1CbeEOMCfQ5PNcOoLarb_DM8o8e0MLs2AzBuEW2UA2VYjyu9pnpmpT5Pc6lgDsS-ghFvZaZkrbN8gthrdOSoVmBoA1Ei63FJtKFhKI%3D&xkcb=SoDG67M3GKqmLbxJhZ0DbzkdCdPP&fccid=3002307a9e5b4706&vjs=3
"2024 CAE Group, Summer Intern Analyst (4 Months)",Royal Bank of Canada,"Toronto, ON",Internal Audit works to review what’s going on behind the scenes of all lines of business across RBC.,https://ca.indeed.com/rc/clk?jk=0313e5b0cab088ea&bb=kZWZO1CbeEOMCfQ5PNcOoEbpjx3LcAFCfKsnNbg4tJZby3l1YG5YInYEbWgsleJ6GSx0ZNGTH0Rd1iNclg_j794iWy-iYbP5Mn6vgElJKIE%3D&xkcb=SoBy67M3GKqmLbxJhZ0CbzkdCdPP&fccid=537b899e30af3338&vjs=3
Vulnerability Research Intern,Trend Micro,"Toronto, ON","Trend Micro, a global cybersecurity leader, helps make the world safe for exchanging digital information.",https://ca.indeed.com/rc/clk?jk=8422646b87b3ff33&bb=kZWZO1CbeEOMCfQ5PNcOoF6gHoVnB92W2-Khj-I1mXjwMb0CjtbWzcdy_ocmJn_VcJsTXBi7Amhe7vJxXfSyKrgTk-jmg4yTRseAmsdncwk%3D&xkcb=SoDv67M3GKqmLbxJhZ0BbzkdCdPP&fccid=db9e6b2d86b4afad&vjs=3
Wealth Management - Data Analytics Intern/Co-op Summer 2024,Scotiabank,"Toronto, ON","Join a purpose driven winning team, committed to results, in an inclusive and high-performing culture.",https://ca.indeed.com/rc/clk?jk=2f46ee90dd56b907&bb=kZWZO1CbeEOMCfQ5PNcOoIrKSyRWtywMbn0t9RWJvvHJ0OMRUcW45hYAvzNPltmmhmHkMwhzRKqH_wAb8L10vrqVXSS7QtJYl2jTs-DcdWI%3D&xkcb=SoBb67M3GKqmLbxJhZ0AbzkdCdPP&fccid=3002307a9e5b4706&vjs=3
Integration Services Co-Op,Ericsson,"Toronto, ON","We are now looking for an Integration Services Co-Op to analyze, prepare, implement and verify the configuration and integration of a node, network and/or…",https://ca.indeed.com/rc/clk?jk=f3ad594bd5fe485c&bb=kZWZO1CbeEOMCfQ5PNcOoKnCJwwai_jw4Sg6ipSq--EpmxV1LKcLIgwkPA8cri8P3wLPospdW6Z5CqejmRGbML1W8upb9SVP_iHi1QsgtMU%3D&xkcb=SoDV67M3GKqmLbxJhZ0HbzkdCdPP&fccid=82656d64a9a3e6a7&vjs=3
Velocity - Corporate Security Internship/Co-op - Summer 2024,Scotiabank,"Toronto, ON","Join a purpose driven winning team, committed to results, in an inclusive and high-performing culture.",https://ca.indeed.com/rc/clk?jk=94dc6838de5edc99&bb=kZWZO1CbeEOMCfQ5PNcOoOecIBp6psPP-BieKyMJtzaOKa7o5N5Le3JJAsfWNAcF0yiqZko7U2HdK86FGITnRCslXXLgTXtfRP3yc5R0BWU%3D&xkcb=SoBh67M3GKqmLbxJhZ0GbzkdCdPP&fccid=3002307a9e5b4706&vjs=3
Embedded Software Engineering Intern (Spring 2024) [8-16 months],Kepler Communications,"Toronto, ON",Kepler is on an audacious mission: to bring the internet to space.,https://ca.indeed.com/rc/clk?jk=1c114342edaa7c1d&bb=kZWZO1CbeEOMCfQ5PNcOoOrIGzf66xoZ6HvZk8TM2QOsUi1ydPvgY6wP6pup3NljmzmlW8MYAQ4yuRyCimHX35Nxke8fGnjaAFsTO7xnnGo%3D&xkcb=SoD867M3GKqmLbxJhZ0FbzkdCdPP&fccid=2f6e00ad893d0a9e&vjs=3
"Student, IT Automation (Winter 2024 Co-op Term)",Fidelity Investments,"Toronto, ON",Students are placed into an area of interest and will be provided with a mentor to support them throughout their journey.,https://ca.indeed.com/rc/clk?jk=9758b6c6ea6b01e5&bb=8pgKUo9T9dIRVViacxxmMDBK_TCCmfkIoOCyvI3Od0wZR-VNNGTJfma9dOYX33t_vOZUJbfj0LcOWUHlXsFcG3yNGAzJ7ODT_Rvh9P5yTys%3D&xkcb=SoD167M3GKqlznw9c50LbzkdCdPP&fccid=371f6257caa76972&vjs=3
Engineering Intern,Thales,"Toronto, ON","This includes Software, Hardware, Systems Design, Verification & Validation, Operations, etc.",https://ca.indeed.com/rc/clk?jk=0ca3c64054a218e1&bb=8pgKUo9T9dIRVViacxxmMIkECbWJJxUx-7vtSgjMCY4L9XCWuUs0Tt28cqOqcf-806ig6B_qoRSjVl-LYSBq0DgmRPb1wQV9scvpWvVDYQg%3D&xkcb=SoBB67M3GKqlznw9c50KbzkdCdPP&fccid=b920aab5fd60595d&vjs=3
RF/Antenna Engineering Intern (Spring 2024) [8-16 months],Kepler Communications,"Toronto, ON","Assist more senior engineers in all activities related to RF/Antenna design, manufacturing and testing for spacecraft, ground terminals and test infrastructure.",https://ca.indeed.com/rc/clk?jk=f8db34abbf82a8e4&bb=8pgKUo9T9dIRVViacxxmMP7kvmsRQBurRw0y2vugHk51rVap1UChEAhx-jearbBbcY-Uxn6jhiTu3OcsYkQouw3k5qNbyfVn1VCOzhKt-eg%3D&xkcb=SoDc67M3GKqlznw9c50JbzkdCdPP&fccid=2f6e00ad893d0a9e&vjs=3
"2024 Summer Student, GRM Leadership Intern (4 Months)",Royal Bank of Canada,"Toronto, ON","Analysis, reporting, validating data, preparing presentations, data visualization or data automation.",https://ca.indeed.com/rc/clk?jk=9f6a8ee6ebc2f1c3&bb=8pgKUo9T9dIRVViacxxmMPdPcDWxQc16qx_UP1tN5M-bSbBWrGqkA4XAcnLeIrdTHpY5ESCKNgq6FheMwGhAybh4VRbh0rdpTP3gS1bz0dM%3D&xkcb=SoBo67M3GKqlznw9c50IbzkdCdPP&fccid=537b899e30af3338&vjs=3
FY24 Intern - Machine Learning and AI for Automotive - Canada (16 months),Qualcomm,"Markham, ON","Interns Group, Interns Group > Interim Engineering Intern - SW.",https://ca.indeed.com/rc/clk?jk=ada693425d4882d4&bb=8pgKUo9T9dIRVViacxxmMC5Ux67KGTS1MK56KQphjqGrSGS2F4ixQjK0ozabzhZl1xXbyIvOjYTTDoaSMUFucxwdOufmLsKB2dZc6kGbE2M%3D&xkcb=SoDm67M3GKqlznw9c50PbzkdCdPP&fccid=d40ebe11fc879426&vjs=3
Digital Design Engineering Intern,The Six Semiconductor,"Markham, ON",Implementation of PHY and Testchip RTL logic in Verilog.,https://ca.indeed.com/rc/clk?jk=fa920627f5900f1a&bb=8pgKUo9T9dIRVViacxxmMD0YlXm3M1Imy68oRsM_GXYWB1vyZNq1oH46Rgjln0GYUwx-WWo6rbSMvBmOtRPBGwIhOdRLD7Kr7_sWHMrwHmQ%3D&xkcb=SoBS67M3GKqlznw9c50ObzkdCdPP&fccid=d14ca11cf6059d4d&vjs=3
ASIC Digital Design Engineering Intern (16 months),Synopsys,"Markham, ON",Duration can be flexible for Masters students.,https://ca.indeed.com/rc/clk?jk=5c8dd78ecef0c653&bb=8pgKUo9T9dIRVViacxxmMPq8tLAw9w3wWSRREw4W4UIg08aYN0Qq_huXWbZds2rygflIcjG42Owt0dN-PxWhiDTBwHqiGWxhVt3DX4_rW6w%3D&xkcb=SoDP67M3GKqlznw9c50NbzkdCdPP&fccid=6ce9eba87609c3e9&vjs=3
"Intern, Mechanical Assembly Design Optimization",Autodesk,"Toronto, ON","A PhD student or candidate in the field of mechanical engineering or a similar domain with a strong background in computational design, machine learning, and…",https://ca.indeed.com/rc/clk?jk=129709d556199cf0&bb=8pgKUo9T9dIRVViacxxmMG2eDc5tWrN5ewe92gFBRaz00YLEUxQQGLcCdjfVKiRman4sLFQ0hAY_WNoVmoWEhYIrBW5FCAgz4atHJ97fSsc%3D&xkcb=SoB767M3GKqlznw9c50MbzkdCdPP&fccid=7136762d065a5ad7&vjs=3
FY24 Intern - Software Toolchains Engineering Internship - Canada (12 or 16 months),Qualcomm,"Markham, ON","Interns Group, Interns Group > Interim Engineering Intern - SW.",https://ca.indeed.com/rc/clk?jk=141f81e4623f457b&bb=8pgKUo9T9dIRVViacxxmMNFgwHZ-2QCwvKZbZfWMsmbgPoF8ucllRKJZdGBSb9YxXpcPBY95zQS3tdfkg8XxuqGicMb0IuuJBCr5qesGihg%3D&xkcb=SoCS67M3GKqlznw9c50DbzkdCdPP&fccid=d40ebe11fc879426&vjs=3
"Intern, AI for Media & Entertainment",Autodesk,"Hybrid remote in Toronto, ON","As an AI research intern for Media & Entertainment (M&E) within Autodesk Research, you will investigate the latest AI technologies to assist different types of…",https://ca.indeed.com/rc/clk?jk=8e33ffc6786187be&bb=8pgKUo9T9dIRVViacxxmMJXLPnhRSRpD3rcCYNWvo0pTNTuu10-yNsy32JAfIQ2YUQ-sokBoQRPkGxGAGiruP0pYfLGEFtmmROX3Aki-jWk%3D&xkcb=SoAm67M3GKqlznw9c50CbzkdCdPP&fccid=7136762d065a5ad7&vjs=3
Business IT Analyst - Canada (Co-op),Kenvue,"Markham, ON","You should have strong interpersonal, analytical, problem solving, and oral and written communication skills.",https://ca.indeed.com/rc/clk?jk=a047baa866ac549e&bb=8pgKUo9T9dIRVViacxxmMA_DP8e7K-aP2bTqhFkWe7Y8Je9Mgc0Bag_aG6WO5E_R6g3uW31XJf7H_gqrqcEixw1DpsslsUQFLjf1nnQHzAo%3D&xkcb=SoC767M3GKqlznw9c50BbzkdCdPP&fccid=ed22db47960d00a3&vjs=3
"2024 Summer - GRM, Global Risk Analytics Intern",Royal Bank of Canada,"Toronto, ON",The intern student will be involved in researching solutions for new requirements and well as benchmarking model development.,https://ca.indeed.com/rc/clk?jk=c77516dbf2bc5a34&bb=8pgKUo9T9dIRVViacxxmMPdPcDWxQc16a8ZGDO2manBy-qBwNNVSlywie9NPiPhTKFH8hBItX3YfMwdiKkzdb2DnF4JXGdYk8ybeAxVdl6c%3D&xkcb=SoAP67M3GKqlznw9c50AbzkdCdPP&fccid=537b899e30af3338&vjs=3
Discrete Graphics Validation Internship,INTEL,"Toronto, ON",You will help us with the following responsibilities:,https://ca.indeed.com/rc/clk?jk=ed7efca69bb0cb91&bb=8pgKUo9T9dIRVViacxxmMO24XRHKK16N36FiG48EC7j4GQWnKYVPLr9q1ltX64PbDrS7jwug118xUpYqkPhm8StUJ9hcJt5T9_vY1uW59Io%3D&xkcb=SoCB67M3GKqlznw9c50HbzkdCdPP&fccid=936367796261bd6e&vjs=3
ASIC Digital Design Engineering Intern (16months),Synopsys,"Markham, ON","RTL coding, analog block modeling, and writing testbenches in SystemVerilog.",https://ca.indeed.com/rc/clk?jk=76fe77c4ce715c30&bb=8pgKUo9T9dIRVViacxxmMLeV9j3S89zYFdzPzrutyvmWbq55J777PxwGtY-AoKnyKioV2LudBcJs9tZypQo97K-Cd2K0UJBFiJZZlsf9ocY%3D&xkcb=SoA167M3GKqlznw9c50GbzkdCdPP&fccid=6ce9eba87609c3e9&vjs=3
FY24 Intern - SoC Software Engineering Internship - Canada (12 or 16 months),Qualcomm,"Markham, ON","Interns Group, Interns Group > Interim Engineering Intern - SW.",https://ca.indeed.com/rc/clk?jk=416b473c23e7d2c9&bb=8pgKUo9T9dIRVViacxxmMJN529Yo6SAHz4M1VJItsF7PLxfaQWwHYIjgSRrX95G3qjiu226hY-R5Xq_s3ctRkn8XtnWh60RfDks1ftVyet4%3D&xkcb=SoCo67M3GKqlznw9c50FbzkdCdPP&fccid=d40ebe11fc879426&vjs=3
